id	nom	typeLibelle	typeCode	rangChallenges	milliardaireForbes	mediaType	mediaPeriodicite	mediaEchelle	commentaire	ACPMdiffusion	wikidataId
90	Mieux vivre votre argent	Média	3			GPE	Mensuel			131803	Q3312817
91	Yves de Chaisemartin	Personne physique	1								Q3574011
92	Daniel Křetínský	Personne physique	1		504						Q11774225
93	Czech Media Invest	Personne morale	2								Q27830718
94	Marianne	Média	3			GPE	Hebdomadaire			132027	Q3291285
95	François Pinault	Personne physique	1	7	32						Q1451167
96	Artémis	Personne morale	2								Q2866000
97	Groupe Sebdo-Le Point	Personne morale	2								
98	Groupe L’Agefi	Personne morale	2								Q3201581
99	Point de vue	Média	3			GPE	Hebdomadaire			126283	Q3393434
100	Le Point	Média	3			GPE	Hebdomadaire			272665	Q1810082
